location,price,bedrooms,bathrooms,floor area,land area,latitude,longitude,city,province,region
"Pasong Camachile I, General Trias",2292960.0,3.0,1.0,40.0,40.0,14.3723207,120.8976745,General Trias,Cavite,Region IV-A
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000.0,2.0,2.0,53.0,88.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000.0,5.0,3.0,166.0,176.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Antero Soriano Highway Sahud Ulan, Tanza",2258057.0,3.0,1.0,45.0,62.0,14.366749,120.8184475,Tanza,Cavite,Region IV-A
"Sapang Biabas, Mabalacat",1400000.0,2.0,1.0,40.0,40.0,15.1987752,120.6026101,Mabalacat,Pampanga,Region III
"Tugbok, Davao",5300000.0,3.0,2.0,70.3,67.0,7.1035383,125.4948467,Davao,Davao del Sur,Region XI
"Km. 19 West Service Rd. Cupang, Muntinlupa",26393000.0,3.0,3.0,219.3,91.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
"Cupang, Muntinlupa",32342000.0,3.0,3.0,247.4,93.0,14.4378843,121.0503212,Muntinlupa,Muntinlupa,NCR
"Pasong Camachile I, General Trias",2389000.0,3.0,1.0,50.0,50.0,14.3723207,120.8976745,General Trias,Cavite,Region IV-A
"Carsadang Bago I, Imus",5234791.0,3.0,2.0,75.0,112.0,14.4289186,120.928888,Imus,Cavite,Region IV-A
"Longos, Malolos",12069000.0,5.0,3.0,142.0,176.0,14.87426,120.7915336,Malolos,Bulacan,Region III
"Aguinaldo Highway San Agustin I, Dasmarinas",3267000.0,2.0,2.0,76.2,66.0,14.3214271,120.94188,Dasmarinas,Cavite,Region IV-A
"Alapan Ii-A, Imus",2292960.0,3.0,1.0,40.0,40.0,14.4084522,120.8964956,Imus,Cavite,Region IV-A
"Longos, Malolos",12902000.0,5.0,3.0,166.0,176.0,14.87426,120.7915336,Malolos,Bulacan,Region III
"Ungka Ii, Pavia",6379520.0,4.0,3.0,100.0,120.0,10.7529006,122.5376029,Pavia,Iloilo,Region VI
"San Rafael Estates San Roque, San Rafael",1979000.0,2.0,1.0,38.9,41.4,15.0126237,120.9341316,San Rafael,Bulacan,Region III
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000.0,1.0,1.0,44.0,40.0,14.8279751,121.0003891,Santa Maria,Bulacan,Region III
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000.0,1.0,1.0,44.0,40.0,14.8279751,121.0003891,Santa Maria,Bulacan,Region III
"Aningway Sacatihan, Subic",2605000.0,2.0,1.0,42.0,54.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Tamiao, Compostela",7021000.0,4.0,2.0,82.0,120.0,10.4382884,123.9947249,Compostela,Cebu,Region VII
"Km.71, North Luzon Expressway Panipuan, Mexico",2747500.0,3.0,2.0,78.5,154.0,15.0941848,120.6701583,Mexico,Pampanga,Region III
"Km. 19 West Service Rd. Cupang, Muntinlupa",32184000.0,3.0,3.0,247.4,92.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
"Longos, Malolos",7798000.0,4.0,3.0,85.0,110.0,14.87426,120.7915336,Malolos,Bulacan,Region III
"San Sebastian, Kawit",6756360.0,4.0,3.0,110.0,100.0,14.4129793,120.8886677,Kawit,Cavite,Region IV-A
"Sapang Biabas, Mabalacat",2706500.0,3.0,2.0,62.0,65.0,15.1987752,120.6026101,Mabalacat,Pampanga,Region III
"Alapan Ii-A, Imus",2389000.0,3.0,1.0,50.0,50.0,14.4084522,120.8964956,Imus,Cavite,Region IV-A
"Victoria South Alabang Tunasan, Muntinlupa",13500000.0,3.0,2.0,140.0,240.0,14.3537827,121.0067911,Muntinlupa,Muntinlupa,NCR
"Pasong Camachile I, General Trias",7410000.0,4.0,3.0,100.0,120.0,14.3723207,120.8976745,General Trias,Cavite,Region IV-A
"Lot 14 Block 26 J Abad Santos Street Northfields Executive Village Phase 1 Barangay Longos Malolos Bulacan Longos, Malolos",5900000.0,3.0,6.0,232.9,200.0,14.8843498,120.8014272,Malolos,Bulacan,Region III
"Eden, Mexico",4113000.0,3.0,2.0,72.0,88.0,15.1262529,120.6580131,Mexico,Pampanga,Region III
"Km. 19 West Service Rd. Cupang, Muntinlupa",31706000.0,3.0,3.0,247.4,92.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
"Santa Maria-San Jose Rd. Bulac, Santa Maria",1675000.0,1.0,1.0,44.0,40.0,14.8279751,121.0003891,Santa Maria,Bulacan,Region III
"Km. 19 West Service Rd. Cupang, Muntinlupa",28804000.0,3.0,3.0,219.3,91.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
"Alapan Ii-A, Imus",6650000.0,3.0,2.0,84.0,120.0,14.4084522,120.8964956,Imus,Cavite,Region IV-A
"Caingin, San Rafael",1800000.0,2.0,1.0,46.0,41.0,14.9717467,120.9434431,San Rafael,Bulacan,Region III
"Km. 19 West Service Rd. Cupang, Muntinlupa",28678000.0,3.0,3.0,219.3,91.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
"Km.71, North Luzon Expressway Panipuan, Mexico",1837500.0,2.0,2.0,52.5,154.0,15.0941848,120.6701583,Mexico,Pampanga,Region III
"Km. 19 West Service Rd. Cupang, Muntinlupa",27676000.0,3.0,3.0,219.3,91.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
"Bugtong Na Pulo, Lipa",4000000.0,2.0,1.0,53.0,52.0,13.9984308,121.1674592,Lipa,Batangas,Region IV-A
"Alapan Ii-A, Imus",2632250.0,3.0,2.0,60.0,50.0,14.4084522,120.8964956,Imus,Cavite,Region IV-A
"Ungka Ii, Pavia",5337920.0,4.0,2.0,80.0,120.0,10.7529006,122.5376029,Pavia,Iloilo,Region VI
"San Sebastian, Kawit",2292960.0,3.0,1.0,40.0,40.0,14.4129793,120.8886677,Kawit,Cavite,Region IV-A
